iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 28, 2018"
Total Net Assets,"50,482,722,433.43"
Shares Outstanding,"250,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"FTNT","FORTINET INC","Equity","0.73","92.27","3,973,728.00","366,655,882.56","366,655,882.56","Information Technology","B5B2106","US34959E1091","NASDAQ"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.68","66.28","5,180,541.00","343,366,257.48","343,366,257.48","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.68","160.08","2,133,240.00","341,489,059.20","341,489,059.20","Information Technology","2469193","US4262811015","NASDAQ"
"DPZ","DOMINOS PIZZA INC","Equity","0.68","294.80","1,157,377.00","341,194,739.60","341,194,739.60","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"TFX","TELEFLEX INC","Equity","0.67","266.09","1,265,809.00","336,819,116.81","336,819,116.81","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.63","150.66","2,119,447.00","319,315,885.02","319,315,885.02","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"PTC","PTC INC","Equity","0.62","106.19","2,931,156.00","311,259,455.64","311,259,455.64","Information Technology","B95N910","US69370C1009","NASDAQ"
"TRMB","TRIMBLE INC","Equity","0.60","43.46","6,908,824.00","300,257,491.04","300,257,491.04","Information Technology","2903958","US8962391004","NASDAQ"
"STLD","STEEL DYNAMICS INC","Equity","0.58","45.19","6,489,523.00","293,261,544.37","293,261,544.37","Materials","2849472","US8581191009","NASDAQ"
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.58","161.26","1,813,106.00","292,381,473.56","292,381,473.56","Industrials","2656423","US6795801009","NASDAQ"
