iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Oct 31, 2018"
Total Net Assets,"45,415,152,665.92"
Shares Outstanding,"249,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.70","149.83","2,133,747.00","319,699,313.01","319,699,313.01","Information Technology","2469193","US4262811015","NASDAQ"
"LW","LAMB WESTON HOLDINGS INC","Equity","0.70","77.97","4,048,007.00","315,618,045.78","315,618,045.78","Consumer Staples","BDQZFJ3","US5132721045","New York Stock Exchange Inc."
"DPZ","DOMINOS PIZZA INC","Equity","0.69","268.79","1,157,572.00","311,143,777.88","311,143,777.88","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"TFX","TELEFLEX INC","Equity","0.67","240.74","1,265,991.00","304,774,673.34","304,774,673.34","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.65","57.08","5,181,427.00","295,755,853.16","295,755,853.16","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.63","93.08","3,073,891.00","286,117,774.28","286,117,774.28","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"LDOS","LEIDOS HOLDINGS INC","Equity","0.59","64.78","4,166,252.00","269,889,804.56","269,889,804.56","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.59","126.82","2,119,425.00","268,785,478.50","268,785,478.50","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.57","37.38","6,920,161.00","258,675,618.18","258,675,618.18","Information Technology","2903958","US8962391004","NASDAQ"
"STLD","STEEL DYNAMICS INC","Equity","0.57","39.60","6,500,169.00","257,406,692.40","257,406,692.40","Materials","2849472","US8581191009","NASDAQ"
"STE","STERIS","Equity","0.56","109.31","2,340,872.00","255,880,718.32","255,880,718.32","Health Care","BVVBC02","GB00BVVBC028","New York Stock Exchange Inc."
"UGI","UGI CORP","Equity","0.56","53.06","4,813,462.00","255,402,293.72","255,402,293.72","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.55","142.37","1,762,354.00","250,906,338.98","250,906,338.98","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.55","600.68","413,540.00","248,405,207.20","248,405,207.20","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.54","166.30","1,486,492.00","247,203,619.60","247,203,619.60","Information Technology","2989356","US9892071054","NASDAQ"
"PTC","PTC INC","Equity","0.53","82.41","2,935,963.00","241,952,710.83","241,952,710.83","Information Technology","B95N910","US69370C1009","NASDAQ"
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.52","223.76","1,061,961.00","237,624,393.36","237,624,393.36","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.52","130.42","1,816,085.00","236,853,805.70","236,853,805.70","Industrials","2656423","US6795801009","NASDAQ"
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.51","90.27","2,569,329.00","231,933,328.83","231,933,328.83","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"ULTI","ULTIMATE SOFTWARE GROUP INC","Equity","0.51","266.63","863,792.00","230,312,860.96","230,312,860.96","Information Technology","2249964","US90385D1072","NASDAQ"
"TYL","TYLER TECHNOLOGIES INC","Equity","0.50","211.66","1,070,071.00","226,491,227.86","226,491,227.86","Information Technology","2909644","US9022521051","New York Stock Exchange Inc."
"RPM","RPM INTERNATIONAL INC","Equity","0.50","61.17","3,694,411.00","225,987,120.87","225,987,120.87","Materials","2756174","US7496851038","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.48","221.28","994,275.00","220,013,172.00","220,013,172.00","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
