iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Nov 30, 2018"
Total Net Assets,"47,619,802,367.96"
Shares Outstanding,"253,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TFX","TELEFLEX INC","Equity","0.75","275.42","1,293,995.00","356,392,102.90","356,392,102.90","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"DPZ","DOMINOS PIZZA INC","Equity","0.69","277.32","1,183,148.00","328,110,603.36","328,110,603.36","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.64","95.67","3,142,051.00","300,600,019.17","300,600,019.17","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.63","137.40","2,166,640.00","297,696,336.00","297,696,336.00","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"STE","STERIS","Equity","0.60","119.08","2,389,069.00","284,490,336.52","284,490,336.52","Health Care","BVVBC02","GB00BVVBC028","New York Stock Exchange Inc."
"UGI","UGI CORP","Equity","0.60","57.45","4,912,577.00","282,227,548.65","282,227,548.65","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.58","179.80","1,517,101.00","272,774,759.80","272,774,759.80","Information Technology","2989356","US9892071054","NASDAQ"
"TRMB","TRIMBLE INC","Equity","0.57","38.03","7,062,660.00","268,592,959.80","268,592,959.80","Information Technology","2903958","US8962391004","NASDAQ"
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.57","149.38","1,797,929.00","268,574,634.02","268,574,634.02","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"LDOS","LEIDOS HOLDINGS INC","Equity","0.57","63.00","4,252,046.00","267,878,898.00","267,878,898.00","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.56","631.03","422,053.00","266,328,104.59","266,328,104.59","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"PTC","PTC INC","Equity","0.55","86.49","2,996,423.00","259,160,625.27","259,160,625.27","Information Technology","B95N910","US69370C1009","NASDAQ"
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.54","234.49","1,083,829.00","254,147,062.21","254,147,062.21","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.54","136.73","1,853,478.00","253,426,046.94","253,426,046.94","Industrials","2656423","US6795801009","NASDAQ"
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.53","95.16","2,622,234.00","249,531,787.44","249,531,787.44","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"RPM","RPM INTERNATIONAL INC","Equity","0.53","65.95","3,770,486.00","248,663,551.70","248,663,551.70","Materials","2756174","US7496851038","New York Stock Exchange Inc."
"MOH","MOLINA HEALTHCARE INC","Equity","0.52","139.71","1,745,124.00","243,811,274.04","243,811,274.04","Health Care","2212706","US60855R1005","New York Stock Exchange Inc."
"NVR","NVR INC","Equity","0.50","2,450.00","96,334.00","236,018,300.00","236,018,300.00","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"SCI","SERVICE","Equity","0.50","46.20","5,096,153.00","235,442,268.60","235,442,268.60","Consumer Discretionary","2797560","US8175651046","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.49","35.20","6,634,021.00","233,517,539.20","233,517,539.20","Materials","2849472","US8581191009","NASDAQ"
"ULTI","ULTIMATE SOFTWARE GROUP INC","Equity","0.49","263.92","881,575.00","232,665,274.00","232,665,274.00","Information Technology","2249964","US90385D1072","NASDAQ"
"LII","LENNOX INTERNATIONAL INC","Equity","0.49","225.91","1,023,686.00","231,260,904.26","231,260,904.26","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.49","217.73","1,061,592.00","231,140,426.16","231,140,426.16","Financials","B03Q9D0","US57060D1081","NASDAQ"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Equity","0.48","94.60","2,423,867.00","229,297,818.20","229,297,818.20","Industrials","2955733","US9297401088","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.48","224.58","1,014,743.00","227,890,982.94","227,890,982.94","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
