iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Dec 31, 2018"
Total Net Assets,"41,657,011,578.61"
Shares Outstanding,"250,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TFX","TELEFLEX INC","Equity","0.80","258.48","1,293,349.00","334,304,849.52","334,304,849.52","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.73","92.72","3,286,520.00","304,726,134.40","304,726,134.40","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"DPZ","DOMINOS PIZZA INC","Equity","0.70","247.99","1,169,977.00","290,142,596.23","290,142,596.23","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.65","126.26","2,157,652.00","272,425,141.52","272,425,141.52","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"UGI","UGI CORP","Equity","0.62","53.35","4,889,852.00","260,873,604.20","260,873,604.20","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.62","623.32","417,328.00","260,128,888.96","260,128,888.96","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"STE","STERIS","Equity","0.61","106.85","2,376,765.00","253,957,340.25","253,957,340.25","Health Care","BVVBC02","GB00BVVBC028","New York Stock Exchange Inc."
"PTC","PTC INC","Equity","0.60","82.90","3,004,162.00","249,045,029.80","249,045,029.80","Information Technology","B95N910","US69370C1009","NASDAQ"
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.59","140.23","1,766,409.00","247,703,534.07","247,703,534.07","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.58","159.23","1,513,378.00","240,975,178.94","240,975,178.94","Information Technology","2989356","US9892071054","NASDAQ"
"NVR","NVR INC","Equity","0.56","2,436.99","95,640.00","233,073,723.60","233,073,723.60","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.56","32.91","7,064,028.00","232,477,161.48","232,477,161.48","Information Technology","2903958","US8962391004","NASDAQ"
"CPT","CAMDEN PROPERTY TRUST REIT","Equity","0.55","88.05","2,619,623.00","230,657,805.15","230,657,805.15","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.54","123.49","1,840,104.00","227,234,442.96","227,234,442.96","Industrials","2656423","US6795801009","NASDAQ"
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.54","211.31","1,057,399.00","223,438,982.69","223,438,982.69","Financials","B03Q9D0","US57060D1081","NASDAQ"
"LII","LENNOX INTERNATIONAL INC","Equity","0.53","218.86","1,019,743.00","223,180,952.98","223,180,952.98","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"LDOS","LEIDOS HOLDINGS INC","Equity","0.53","52.72","4,212,404.00","222,077,938.88","222,077,938.88","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.53","39.19","5,617,935.00","220,166,872.65","220,166,872.65","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"RPM","RPM INTERNATIONAL INC","Equity","0.53","58.78","3,733,056.00","219,429,031.68","219,429,031.68","Materials","2756174","US7496851038","New York Stock Exchange Inc."
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.52","48.51","4,476,078.00","217,134,543.78","217,134,543.78","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"ULTI","ULTIMATE SOFTWARE GROUP INC","Equity","0.52","244.87","879,508.00","215,365,123.96","215,365,123.96","Information Technology","2249964","US90385D1072","NASDAQ"
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.51","200.13","1,069,899.00","214,118,886.87","214,118,886.87","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.50","207.07","1,014,789.00","210,132,358.23","210,132,358.23","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"SCI","SERVICE","Equity","0.49","40.26","5,089,635.00","204,908,705.10","204,908,705.10","Consumer Discretionary","2797560","US8175651046","New York Stock Exchange Inc."
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.49","98.03","2,083,641.00","204,259,327.23","204,259,327.23","Health Care","2950482","US9553061055","New York Stock Exchange Inc."
"MOH","MOLINA HEALTHCARE INC","Equity","0.49","116.22","1,754,801.00","203,942,972.22","203,942,972.22","Health Care","2212706","US60855R1005","New York Stock Exchange Inc."
"TYL","TYLER TECHNOLOGIES INC","Equity","0.49","185.82","1,091,984.00","202,912,466.88","202,912,466.88","Information Technology","2909644","US9022521051","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.48","73.91","2,712,820.00","200,504,526.20","200,504,526.20","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Equity","0.48","35.15","5,645,053.00","198,423,612.95","198,423,612.95","Real Estate","2043274","US6819361006","New York Stock Exchange Inc."
"GGG","GRACO INC","Equity","0.47","41.85","4,688,839.00","196,227,912.15","196,227,912.15","Industrials","2380443","US3841091040","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.46","30.04","6,457,046.00","193,969,661.84","193,969,661.84","Materials","2849472","US8581191009","NASDAQ"
"LYV","LIVE NATION ENTERTAINMENT INC","Equity","0.46","49.25","3,889,982.00","191,581,613.50","191,581,613.50","Communication","B0T7YX2","US5380341090","New York Stock Exchange Inc."
"CGNX","COGNEX CORP","Equity","0.45","38.67","4,843,274.00","187,289,405.58","187,289,405.58","Information Technology","2208288","US1924221039","NASDAQ"
"INGR","INGREDION INC","Equity","0.44","91.40","1,992,438.00","182,108,833.20","182,108,833.20","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
