iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jan 31, 2019"
Total Net Assets,"46,213,539,402.56"
Shares Outstanding,"252,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"DPZ","DOMINOS PIZZA INC","Equity","0.72","283.73","1,178,510.00","334,378,642.30","334,378,642.30","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.70","97.63","3,310,928.00","323,245,900.64","323,245,900.64","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.65","137.86","2,173,414.00","299,626,854.04","299,626,854.04","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"UGI","UGI CORP","Equity","0.61","57.03","4,925,607.00","280,907,367.21","280,907,367.21","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"STE","STERIS","Equity","0.59","114.06","2,394,129.00","273,074,353.74","273,074,353.74","Health Care","BVVBC02","GB00BVVBC028","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.58","37.66","7,115,756.00","267,979,370.96","267,979,370.96","Information Technology","2903958","US8962391004","NASDAQ"
"Y","ALLEGHANY CORP","Equity","0.57","631.56","420,366.00","265,486,350.96","265,486,350.96","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.57","173.60","1,524,466.00","264,647,297.60","264,647,297.60","Information Technology","2989356","US9892071054","NASDAQ"
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.56","144.45","1,779,675.00","257,074,053.75","257,074,053.75","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"PTC","PTC INC","Equity","0.56","84.79","3,026,186.00","256,590,310.94","256,590,310.94","Information Technology","B95N910","US69370C1009","NASDAQ"
"NVR","NVR INC","Equity","0.55","2,660.00","96,276.00","256,094,160.00","256,094,160.00","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT","Equity","0.55","96.95","2,638,797.00","255,831,369.15","255,831,369.15","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.55","135.93","1,852,980.00","251,875,571.40","251,875,571.40","Industrials","2656423","US6795801009","NASDAQ"
"LDOS","LEIDOS HOLDINGS INC","Equity","0.53","58.00","4,243,139.00","246,102,062.00","246,102,062.00","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"ULTI","ULTIMATE SOFTWARE GROUP INC","Equity","0.52","273.07","885,947.00","241,925,547.29","241,925,547.29","Information Technology","2249964","US90385D1072","NASDAQ"
"STLD","STEEL DYNAMICS INC","Equity","0.52","36.59","6,503,893.00","237,977,444.87","237,977,444.87","Materials","2849472","US8581191009","NASDAQ"
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.51","52.71","4,508,940.00","237,666,227.40","237,666,227.40","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.51","218.63","1,077,702.00","235,617,988.26","235,617,988.26","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"LII","LENNOX INTERNATIONAL INC","Equity","0.51","229.28","1,027,205.00","235,517,562.40","235,517,562.40","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"MOH","MOLINA HEALTHCARE INC","Equity","0.51","132.98","1,767,669.00","235,064,623.62","235,064,623.62","Health Care","2212706","US60855R1005","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.50","40.95","5,658,998.00","231,735,968.10","231,735,968.10","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.50","224.22","1,022,227.00","229,203,737.94","229,203,737.94","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.50","214.77","1,065,114.00","228,754,533.78","228,754,533.78","Financials","B03Q9D0","US57060D1081","NASDAQ"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Equity","0.49","40.19","5,686,349.00","228,534,366.31","228,534,366.31","Real Estate","2043274","US6819361006","New York Stock Exchange Inc."
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.49","108.27","2,098,919.00","227,249,960.13","227,249,960.13","Health Care","2950482","US9553061055","New York Stock Exchange Inc."
"CGNX","COGNEX CORP","Equity","0.48","45.50","4,878,700.00","221,980,850.00","221,980,850.00","Information Technology","2208288","US1924221039","NASDAQ"
"SCI","SERVICE","Equity","0.48","42.92","5,126,891.00","220,046,161.72","220,046,161.72","Consumer Discretionary","2797560","US8175651046","New York Stock Exchange Inc."
"RPM","RPM INTERNATIONAL INC","Equity","0.47","57.16","3,760,314.00","214,939,548.24","214,939,548.24","Materials","2756174","US7496851038","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.46","76.89","2,735,381.00","210,323,445.09","210,323,445.09","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"LYV","LIVE NATION ENTERTAINMENT INC","Equity","0.45","53.51","3,918,445.00","209,675,991.95","209,675,991.95","Communication","B0T7YX2","US5380341090","New York Stock Exchange Inc."
"TYL","TYLER TECHNOLOGIES INC","Equity","0.45","189.19","1,099,964.00","208,102,189.16","208,102,189.16","Information Technology","2909644","US9022521051","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.45","50.32","4,107,114.00","206,669,976.48","206,669,976.48","Financials","2487407","US27579R1041","NASDAQ"
"GGG","GRACO INC","Equity","0.44","43.33","4,715,642.00","204,328,767.86","204,328,767.86","Industrials","2380443","US3841091040","New York Stock Exchange Inc."
"KRC","KILROY REALTY REIT CORP","Equity","0.44","70.46","2,854,469.00","201,125,885.74","201,125,885.74","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"EXEL","EXELIXIS INC","Equity","0.43","23.57","8,471,089.00","199,663,567.73","199,663,567.73","Health Care","2576941","US30161Q1040","NASDAQ"
