iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Apr 30, 2018"
Total Net Assets,"44,615,166,831.39"
Shares Outstanding,"238,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ABMD","ABIOMED INC","Equity","0.74","300.95","1,092,924.00","328,915,477.80","328,915,477.80","Health Care","2003698","US0036541003","NASDAQ"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.73","107.21","3,030,813.00","324,933,461.73","324,933,461.73","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"TFX","TELEFLEX INC","Equity","0.70","267.88","1,170,762.00","313,623,724.56","313,623,724.56","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"HFC","HOLLYFRONTIER CORP","Equity","0.63","60.69","4,609,553.00","279,753,771.57","279,753,771.57","Energy","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"NVR","NVR INC","Equity","0.62","3,100.00","89,060.00","276,086,000.00","276,086,000.00","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.62","44.81","6,135,393.00","274,926,960.33","274,926,960.33","Materials","2849472","US8581191009","NASDAQ"
"DPZ","DOMINOS PIZZA INC","Equity","0.62","241.73","1,136,599.00","274,750,076.27","274,750,076.27","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"CPRT","COPART INC","Equity","0.60","51.08","5,245,585.00","267,944,481.80","267,944,481.80","Industrials","2208073","US2172041061","NASDAQ"
"IEX","IDEX CORP","Equity","0.60","133.66","1,989,134.00","265,867,650.44","265,867,650.44","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.57","51.68","4,938,026.00","255,197,183.68","255,197,183.68","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.56","86.89","2,883,746.00","250,568,689.94","250,568,689.94","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.56","149.40","1,675,798.00","250,364,221.20","250,364,221.20","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.56","66.62","3,756,583.00","250,263,559.46","250,263,559.46","Financials","2487407","US27579R1041","NASDAQ"
"PTC","PTC INC","Equity","0.56","82.35","3,022,127.00","248,872,158.45","248,872,158.45","Information Technology","B95N910","US69370C1009","NASDAQ"
"LW","LAMB WESTON HOLDINGS INC","Equity","0.56","65.32","3,798,910.00","248,144,801.20","248,144,801.20","Consumer Staples","BDQZFJ3","US5132721045","New York Stock Exchange Inc."
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.54","119.48","2,008,034.00","239,919,902.32","239,919,902.32","Information Technology","2469193","US4262811015","NASDAQ"
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.53","133.86","1,776,914.00","237,857,708.04","237,857,708.04","Industrials","2656423","US6795801009","NASDAQ"
"LDOS","LEIDOS HOLDINGS INC","Equity","0.53","64.23","3,700,173.00","237,662,111.79","237,662,111.79","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.53","205.16","1,157,328.00","237,437,412.48","237,437,412.48","Health Care","B01R258","US94946T1060","New York Stock Exchange Inc."
"CC","CHEMOURS","Equity","0.52","48.41","4,812,338.00","232,965,282.58","232,965,282.58","Materials","BZ0CTP8","US1638511089","New York Stock Exchange Inc."
