iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"May 31, 2018"
Total Net Assets,"46,952,374,315.77"
Shares Outstanding,"241,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"HFC","HOLLYFRONTIER CORP","Equity","0.76","77.18","4,663,049.00","359,894,121.82","359,894,121.82","Energy","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.75","115.45","3,066,949.00","354,079,262.05","354,079,262.05","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"TFX","TELEFLEX INC","Equity","0.67","267.16","1,184,383.00","316,419,762.28","316,419,762.28","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.65","49.43","6,206,540.00","306,789,272.20","306,789,272.20","Materials","2849472","US8581191009","NASDAQ"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.62","58.74","4,995,289.00","293,423,275.86","293,423,275.86","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"CPRT","COPART INC","Equity","0.62","54.83","5,306,437.00","290,951,940.71","290,951,940.71","Industrials","2208073","US2172041061","NASDAQ"
"DPZ","DOMINOS PIZZA INC","Equity","0.61","251.48","1,149,810.00","289,154,218.80","289,154,218.80","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.61","1.00","288,447,629.00","288,447,629.00","288,447,629.00","Cash and/or Derivatives","-","US0669224778","-"
"WYN","WYNDHAM WORLDWIDE CORP","Equity","0.60","108.44","2,620,736.00","284,192,611.84","284,192,611.84","Consumer Discretionary","B198391","US98310W1080","New York Stock Exchange Inc."
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.59","155.96","1,797,571.00","280,349,173.16","280,349,173.16","Industrials","2656423","US6795801009","NASDAQ"
"IEX","IDEX CORP","Equity","0.59","138.68","2,012,181.00","279,049,261.08","279,049,261.08","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"NVR","NVR INC","Equity","0.57","2,990.54","90,053.00","269,307,098.62","269,307,098.62","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.56","69.48","3,800,178.00","264,036,367.44","264,036,367.44","Financials","2487407","US27579R1041","NASDAQ"
"PTC","PTC INC","Equity","0.56","86.24","3,057,221.00","263,654,739.04","263,654,739.04","Information Technology","B95N910","US69370C1009","NASDAQ"
