iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jun 29, 2018"
Total Net Assets,"47,208,832,447.76"
Shares Outstanding,"242,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TFX","TELEFLEX INC","Equity","0.69","268.21","1,210,148.00","324,573,795.08","324,573,795.08","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"DPZ","DOMINOS PIZZA INC","Equity","0.68","282.17","1,123,447.00","317,003,039.99","317,003,039.99","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.63","59.03","4,966,119.00","293,150,004.57","293,150,004.57","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.61","45.95","6,269,001.00","288,060,595.95","288,060,595.95","Materials","2849472","US8581191009","NASDAQ"
"PTC","PTC INC","Equity","0.61","93.81","3,065,920.00","287,613,955.20","287,613,955.20","Information Technology","B95N910","US69370C1009","NASDAQ"
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.61","246.24","1,155,451.00","284,518,254.24","284,518,254.24","Health Care","B01R258","US94946T1060","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.59","136.48","2,038,474.00","278,210,931.52","278,210,931.52","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.58","148.96","1,812,812.00","270,036,475.52","270,036,475.52","Industrials","2656423","US6795801009","NASDAQ"
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.57","130.36","2,053,806.00","267,734,150.16","267,734,150.16","Information Technology","2469193","US4262811015","NASDAQ"
"LW","LAMB WESTON HOLDINGS INC","Equity","0.57","68.51","3,885,478.00","266,194,097.78","266,194,097.78","Consumer Staples","BDQZFJ3","US5132721045","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.57","90.14","2,951,107.00","266,012,784.98","266,012,784.98","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"NVR","NVR INC","Equity","0.57","2,970.35","89,527.00","265,926,524.45","265,926,524.45","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.54","65.20","3,850,084.00","251,025,476.80","251,025,476.80","Financials","2487407","US27579R1041","NASDAQ"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.51","1.00","240,435,900.00","240,435,899.90","240,435,899.90","Cash and/or Derivatives","-","US0669224778","-"
"FTNT","FORTINET INC","Equity","0.51","62.43","3,841,195.00","239,805,803.85","239,805,803.85","Information Technology","B5B2106","US34959E1091","NASDAQ"
"UGI","UGI CORP","Equity","0.51","52.07","4,599,918.00","239,517,730.26","239,517,730.26","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"STE","STERIS","Equity","0.50","105.01","2,248,386.00","236,103,013.86","236,103,013.86","Health Care","BVVBC02","GB00BVVBC028","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.50","574.97","406,271.00","233,593,636.87","233,593,636.87","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.49","133.48","1,714,441.00","228,843,584.68","228,843,584.68","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.48","91.13","2,465,099.00","224,644,471.87","224,644,471.87","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Equity","0.48","98.58","2,277,109.00","224,477,405.22","224,477,405.22","Industrials","2955733","US9297401088","New York Stock Exchange Inc."
"LDOS","LEIDOS HOLDINGS INC","Equity","0.48","59.00","3,791,093.00","223,674,487.00","223,674,487.00","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"SEIC","SEI INVESTMENTS","Equity","0.47","62.52","3,486,372.00","217,967,977.44","217,967,977.44","Financials","2793610","US7841171033","NASDAQ"
"TRMB","TRIMBLE INC","Equity","0.46","32.84","6,622,023.00","217,467,235.32","217,467,235.32","Information Technology","2903958","US8962391004","NASDAQ"
"CDK","CDK GLOBAL INC","Equity","0.46","65.05","3,287,112.00","213,826,635.60","213,826,635.60","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"INGR","INGREDION INC","Equity","0.45","110.70","1,919,543.00","212,493,410.10","212,493,410.10","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"TYL","TYLER TECHNOLOGIES INC","Equity","0.45","222.10","946,111.00","210,131,253.10","210,131,253.10","Information Technology","2909644","US9022521051","New York Stock Exchange Inc."
"CC","CHEMOURS","Equity","0.45","44.36","4,727,298.00","209,702,939.28","209,702,939.28","Materials","BZ0CTP8","US1638511089","New York Stock Exchange Inc."
"RPM","RPM INTERNATIONAL INC","Equity","0.44","58.32","3,553,338.00","207,230,672.16","207,230,672.16","Materials","2756174","US7496851038","New York Stock Exchange Inc."
"CGNX","COGNEX CORP","Equity","0.44","44.61","4,595,402.00","205,000,883.22","205,000,883.22","Information Technology","2208288","US1924221039","NASDAQ"
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.44","198.10","1,032,920.00","204,621,452.00","204,621,452.00","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.43","143.25","1,418,837.00","203,248,400.25","203,248,400.25","Information Technology","2989356","US9892071054","NASDAQ"
"WEX","WEX INC","Equity","0.43","190.48","1,064,626.00","202,789,960.48","202,789,960.48","Information Technology","B8383P2","US96208T1043","New York Stock Exchange Inc."
"GGG","GRACO INC","Equity","0.43","45.22","4,453,458.00","201,385,370.76","201,385,370.76","Industrials","2380443","US3841091040","New York Stock Exchange Inc."
"JLL","JONES LANG LASALLE INC","Equity","0.43","165.99","1,208,742.00","200,639,084.58","200,639,084.58","Real Estate","2040640","US48020Q1076","New York Stock Exchange Inc."
"ULTI","ULTIMATE SOFTWARE GROUP INC","Equity","0.42","257.31","772,772.00","198,841,963.32","198,841,963.32","Information Technology","2249964","US90385D1072","NASDAQ"
"KRC","KILROY REALTY REIT CORP","Equity","0.42","75.64","2,626,276.00","198,651,516.64","198,651,516.64","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.42","107.33","1,843,210.00","197,831,729.30","197,831,729.30","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.42","197.86","999,228.00","197,707,252.08","197,707,252.08","Financials","B03Q9D0","US57060D1081","NASDAQ"
"LII","LENNOX INTERNATIONAL INC","Equity","0.42","200.15","986,281.00","197,404,142.15","197,404,142.15","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.41","99.29","1,955,040.00","194,115,921.60","194,115,921.60","Health Care","2950482","US9553061055","New York Stock Exchange Inc."
"TER","TERADYNE INC","Equity","0.41","38.07","5,083,458.00","193,527,246.06","193,527,246.06","Information Technology","2884183","US8807701029","New York Stock Exchange Inc."
"WPX","WPX ENERGY INC","Equity","0.41","18.03","10,618,435.00","191,450,383.05","191,450,383.05","Energy","B40PCD9","US98212B1035","New York Stock Exchange Inc."
"PII","POLARIS INDUSTRIES INC","Equity","0.41","122.18","1,560,378.00","190,646,984.04","190,646,984.04","Consumer Discretionary","2692933","US7310681025","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.40","199.06","950,258.00","189,158,357.48","189,158,357.48","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"EGN","ENERGEN CORP","Equity","0.40","72.82","2,588,812.00","188,517,289.84","188,517,289.84","Energy","2012672","US29265N1081","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.40","35.21","5,307,051.00","186,861,265.71","186,861,265.71","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.39","72.41","2,553,964.00","184,932,533.24","184,932,533.24","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"SBNY","SIGNATURE BANK","Equity","0.39","127.88","1,426,412.00","182,409,566.56","182,409,566.56","Financials","B00JQL9","US82669G1040","NASDAQ"
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.38","43.96","4,087,922.00","179,705,051.12","179,705,051.12","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"EHC","ENCOMPASS HEALTH CORP","Equity","0.38","67.72","2,625,745.00","177,815,451.40","177,815,451.40","Health Care","BYX2YJ7","US29261A1007","New York Stock Exchange Inc."
"CSL","CARLISLE COMPANIES INC","Equity","0.37","108.31","1,619,423.00","175,399,705.13","175,399,705.13","Industrials","2176318","US1423391002","New York Stock Exchange Inc."
"ARW","ARROW ELECTRONICS INC","Equity","0.37","75.28","2,328,124.00","175,261,174.72","175,261,174.72","Information Technology","2051404","US0427351004","New York Stock Exchange Inc."
"LYV","LIVE NATION ENTERTAINMENT INC","Equity","0.37","48.57","3,607,528.00","175,217,634.96","175,217,634.96","Consumer Discretionary","B0T7YX2","US5380341090","New York Stock Exchange Inc."
"NDSN","NORDSON CORP","Equity","0.37","128.41","1,358,335.00","174,423,797.35","174,423,797.35","Industrials","2641838","US6556631025","NASDAQ"
"SCI","SERVICE","Equity","0.37","35.79","4,871,631.00","174,355,673.49","174,355,673.49","Consumer Discretionary","2797560","US8175651046","New York Stock Exchange Inc."
"LPT","LIBERTY PROPERTY REIT TRUST","Equity","0.37","44.33","3,926,874.00","174,078,324.42","174,078,324.42","Real Estate","2513681","US5311721048","New York Stock Exchange Inc."
"DEI","DOUGLAS EMMETT REIT INC","Equity","0.36","40.18","4,243,996.00","170,523,759.28","170,523,759.28","Real Estate","B1G3M58","US25960P1093","New York Stock Exchange Inc."
"TTC","TORO","Equity","0.36","60.25","2,817,058.00","169,727,744.50","169,727,744.50","Industrials","2897040","US8910921084","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","0.36","27.73","6,092,221.00","168,937,288.33","168,937,288.33","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"RS","RELIANCE STEEL & ALUMINUM","Equity","0.36","87.54","1,922,039.00","168,255,294.06","168,255,294.06","Materials","2729068","US7595091023","New York Stock Exchange Inc."
"GNTX","GENTEX CORP","Equity","0.36","23.02","7,276,575.00","167,506,756.50","167,506,756.50","Consumer Discretionary","2366799","US3719011096","NASDAQ"
"DCT","DCT INDUSTRIAL TRUST REIT INC TRUS","Equity","0.36","66.73","2,502,430.00","166,987,153.90","166,987,153.90","Real Estate","BRWPYN2","US2331532042","New York Stock Exchange Inc."
"CFR","CULLEN FROST BANKERS INC","Equity","0.36","108.24","1,542,587.00","166,969,616.88","166,969,616.88","Financials","2239556","US2298991090","New York Stock Exchange Inc."
