iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jul 31, 2018"
Total Net Assets,"48,363,420,337.56"
Shares Outstanding,"244,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TFX","TELEFLEX INC","Equity","0.69","272.71","1,228,471.00","335,016,326.41","335,016,326.41","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.66","153.58","2,069,426.00","317,822,445.08","317,822,445.08","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.64","267.42","1,155,451.00","308,990,706.42","308,990,706.42","Health Care","B01R258","US94946T1060","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.62","47.09","6,364,120.00","299,686,410.80","299,686,410.80","Materials","2849472","US8581191009","NASDAQ"
"DPZ","DOMINOS PIZZA INC","Equity","0.62","262.66","1,140,456.00","299,552,172.96","299,552,172.96","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.60","58.00","5,041,455.00","292,404,390.00","292,404,390.00","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"PTC","PTC INC","Equity","0.59","91.91","3,112,421.00","286,062,614.11","286,062,614.11","Information Technology","B95N910","US69370C1009","NASDAQ"
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.58","134.70","2,084,977.00","280,846,401.90","280,846,401.90","Information Technology","2469193","US4262811015","NASDAQ"
"LW","LAMB WESTON HOLDINGS INC","Equity","0.57","70.27","3,944,389.00","277,172,215.03","277,172,215.03","Consumer Staples","BDQZFJ3","US5132721045","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.57","91.87","2,995,856.00","275,229,290.72","275,229,290.72","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.56","146.80","1,840,333.00","270,160,884.40","270,160,884.40","Industrials","2656423","US6795801009","NASDAQ"
"LDOS","LEIDOS HOLDINGS INC","Equity","0.54","68.42","3,848,617.00","263,322,375.14","263,322,375.14","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"STE","STERIS","Equity","0.54","114.47","2,282,477.00","261,275,142.19","261,275,142.19","Health Care","BVVBC02","GB00BVVBC028","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.54","629.27","412,403.00","259,512,835.81","259,512,835.81","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Equity","0.53","110.32","2,311,638.00","255,019,904.16","255,019,904.16","Industrials","2955733","US9297401088","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.52","64.74","3,908,484.00","253,035,254.16","253,035,254.16","Financials","2487407","US27579R1041","NASDAQ"
"NVR","NVR INC","Equity","0.52","2,759.43","90,914.00","250,870,819.02","250,870,819.02","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"UGI","UGI CORP","Equity","0.51","53.14","4,669,706.00","248,148,176.84","248,148,176.84","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
