iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 31, 2018"
Total Net Assets,"50,626,626,235.07"
Shares Outstanding,"247,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.80","302.57","1,334,308.00","403,721,571.56","403,721,571.56","Health Care","B01R258","US94946T1060","New York Stock Exchange Inc."
"DPZ","DOMINOS PIZZA INC","Equity","0.68","298.56","1,154,607.00","344,719,465.92","344,719,465.92","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.66","158.44","2,110,777.00","334,431,507.88","334,431,507.88","Information Technology","2469193","US4262811015","NASDAQ"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.65","64.89","5,103,865.00","331,189,799.85","331,189,799.85","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"FTNT","FORTINET INC","Equity","0.65","83.76","3,947,742.00","330,662,869.92","330,662,869.92","Information Technology","B5B2106","US34959E1091","NASDAQ"
"IEX","IDEX CORP","Equity","0.63","153.21","2,095,013.00","320,976,941.73","320,976,941.73","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"PTC","PTC INC","Equity","0.62","99.94","3,150,965.00","314,907,442.10","314,907,442.10","Information Technology","B95N910","US69370C1009","NASDAQ"
"TFX","TELEFLEX INC","Equity","0.61","247.43","1,243,713.00","307,731,907.59","307,731,907.59","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.58","45.73","6,442,890.00","294,633,359.70","294,633,359.70","Materials","2849472","US8581191009","NASDAQ"
"TRMB","TRIMBLE INC","Equity","0.57","42.10","6,805,701.00","286,520,012.10","286,520,012.10","Information Technology","2903958","US8962391004","NASDAQ"
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.56","152.40","1,863,090.00","283,934,916.00","283,934,916.00","Industrials","2656423","US6795801009","NASDAQ"
